theta_deg,R_normalized
0.00,1.0000
-10.00,1.0060
-10.00,0.9550
-20.00,0.9050
-20.00,0.8950
-30.00,0.9800
-30.00,0.9420
-10.00,1.0610
-10.00,1.0040
-20.00,0.9470
-20.00,0.9980
-30.00,1.1810
-30.00,1.1540
