theta_deg,R_normalized
-16.70,1.0897
-8.53,0.6897
0.00,1.0000
-16.70,0.6087
-8.53,0.7174
0.00,1.0000
-16.70,0.5784
-8.53,1.2313
0.00,1.0000
-16.70,0.6452
-8.53,0.5548
0.00,1.0000
-16.70,0.7306
-8.53,0.6596
0.00,1.0000
