theta_deg,R_normalized
-16.07,0.6744
-14.07,0.6545
-10.15,0.6545
-8.07,0.7471
-6.15,0.8331
-6.15,0.7372
-4.19,0.7438
-2.19,0.8331
-0.00,0.9190
-0.00,1.0810
