theta_deg,R_normalized
-25.02,0.5707
-35.30,0.7888
-10.20,0.7380
-34.75,0.7437
-44.03,0.9749
-0.57,0.9542
-21.23,0.6666
-10.20,0.7154
-21.28,0.6384
-5.01,0.7474
-5.11,0.6628
-10.05,0.5631
-15.04,0.5218
-15.59,0.6872
-27.76,0.7568
-29.91,0.5989
-35.10,0.6722
-44.13,0.8640
-0.52,1.0765
-0.57,0.9693
-5.21,0.8189
-19.98,0.5763
